generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
1.684837,5543.621037,0.130365,23.337464,70.788222,32.268158,0.612961,1.224366,0.179966,8.387943,0.686313,86.091649,1.540620,2.232983,30.016298,0.051078,0.100331,0.315816,6.406,0.188254,213.39,63.35,87.0,0.015505,0.984495,0,1,0.000000,0.000000,0.000000
2.653707,2318.231824,0.203910,12.040386,68.622221,20.169686,0.949403,1.005869,0.806300,8.469575,0.724829,100.878855,1.399066,2.000798,22.862349,0.070021,0.141702,0.206457,15.867,0.252658,486.91,94.49,91.0,0.015534,0.984466,0,1,0.000000,0.000000,0.000000
2.268230,7699.478965,0.367366,11.864425,66.282181,21.415878,0.721304,1.251836,0.977877,8.505238,0.803841,74.086284,1.462422,2.308630,34.244940,0.089328,0.182316,0.325477,13.592,0.492126,440.69,134.83,100.7,0.011487,0.988513,0,1,0.000000,0.000000,0.000000
0.872462,7320.724493,0.235353,18.009629,77.069815,45.014892,0.872766,1.147820,0.401659,7.762140,0.622157,83.408470,1.748000,1.959423,20.681536,0.052170,0.024973,0.178878,3.120,0.166169,85.01,14.29,81.5,0.015049,0.984951,1,1,0.000000,0.000000,0.000000
2.073551,7286.671883,0.228034,13.843902,59.887817,31.240217,0.620667,1.296409,0.435375,7.971111,0.894576,76.997245,1.567145,1.704335,37.198052,0.101577,0.208748,0.532158,9.450,0.925154,343.45,171.80,111.9,0.013380,0.986620,0,1,0.000000,0.000000,0.000000
1.833972,3752.828244,0.213665,14.042863,80.910923,22.567878,0.777725,1.161295,0.043080,8.170346,0.901293,65.679677,1.661087,1.584210,29.057830,0.106868,0.230000,0.309871,16.829,0.422212,654.74,190.71,112.8,0.011328,0.988672,0,1,0.000000,0.000000,0.000000
1.419912,4858.737907,0.325634,16.494667,71.933754,44.354286,0.781830,1.090438,0.399530,7.721985,0.921626,109.316081,1.358105,1.654758,36.646839,0.052148,0.092037,0.247214,13.188,0.270118,335.82,78.04,115.3,0.015856,0.984144,0,1,0.000000,0.000000,0.000000
1.812511,5585.929149,0.217421,11.059768,53.702883,22.164503,0.669631,1.407709,0.008489,8.262212,0.878489,92.925536,1.737221,1.888430,30.563878,0.137297,0.299171,0.459018,18.193,0.824991,560.38,241.79,109.9,0.015599,0.984401,0,1,0.000000,0.000000,0.000000
1.895896,6572.904695,0.353410,21.310364,64.657270,27.315842,0.738046,1.141900,0.586944,8.623754,0.632652,98.137439,1.728303,1.876269,32.760916,0.144931,0.101335,0.219803,9.082,0.196179,285.46,58.98,84.0,0.015325,0.984675,1,1,0.000000,0.000000,0.000000
1.716437,3407.061063,0.197703,13.374301,79.307000,42.679351,0.644184,1.241384,0.485040,8.548507,0.707145,65.870330,1.539702,1.550420,21.752478,0.141520,0.315378,0.360151,21.656,0.421036,606.06,205.18,88.8,0.009326,0.990674,0,1,0.000000,0.000000,0.000000
